2.73,1.45,65.20
2.73,1.55,65.60
2.73,1.45,66.00
2.73,1.55,67.70
2.73,1.55,66.90
2.73,1.45,63.30
2.73,1.55,65.10
2.73,1.55,69.60
2.73,1.45,67.90
2.73,1.55,69.80
2.73,1.55,67.00
2.73,1.55,69.80
2.82,1.55,71.60
2.73,1.55,72.90
2.82,1.55,71.90
2.82,1.64,68.20
2.73,1.55,73.70
2.73,1.64,73.00
2.73,1.64,74.40
2.82,1.64,70.20
2.73,1.73,74.50
2.73,1.64,74.60
2.73,1.64,75.60
2.82,1.73,71.50
2.73,1.73,77.00
2.82,1.64,77.00
2.73,1.73,76.60
2.82,1.73,77.80
2.73,1.73,78.80
2.73,1.73,79.30
2.73,1.82,74.30
2.73,1.82,80.20
2.82,1.73,79.60
2.82,1.73,80.60
2.82,1.73,80.90
2.82,1.82,89.70
2.73,1.82,81.30
2.82,1.82,82.70
2.82,1.82,82.60
2.82,1.82,87.50
2.82,1.82,83.50
2.82,1.82,78.90
2.82,1.82,84.40
2.82,1.91,80.40
2.82,2.00,80.70
2.82,1.91,85.10
2.91,1.91,81.30
2.82,1.91,86.30
2.82,1.91,85.50
2.82,1.91,86.00
2.91,1.91,86.50
2.82,1.91,86.70
2.82,2.00,88.10
2.91,1.91,83.00
2.82,1.91,84.20
2.91,2.00,87.70
2.82,1.91,89.40
2.82,1.91,90.00
2.91,2.00,89.70
2.82,2.00,89.60
2.82,2.00,90.30
2.82,2.00,90.10
2.82,2.00,90.00
2.82,2.00,91.30
2.82,2.09,90.70
2.82,2.00,91.50
2.82,2.09,92.10
2.82,2.09,87.90
2.91,2.09,93.10
2.91,2.09,88.50
2.82,2.09,92.90
2.82,2.00,93.60
2.82,2.09,95.10
2.91,2.09,94.30
2.91,2.09,95.00
2.82,2.09,95.10
2.91,2.09,94.90
2.82,2.09,95.80
2.91,2.09,87.00
2.91,2.09,96.60
2.91,2.09,92.00
2.91,2.09,92.10
2.91,2.09,97.80
2.91,2.09,97.40
2.91,2.09,99.00
2.91,2.09,97.90
2.91,2.09,99.00
2.82,2.09,98.50
2.82,2.18,98.00
2.82,2.18,98.10
2.82,2.09,98.30
2.82,2.18,99.20
2.82,2.18,100.10
2.82,2.18,99.80
2.82,2.18,101.00
2.82,2.18,100.30
2.82,2.18,101.40
2.82,2.09,100.60
2.91,2.18,101.60
3.00,2.18,97.50
2.82,2.18,102.80
2.82,2.18,112.20
2.82,2.18,103.60
2.82,2.18,101.70
2.82,2.18,104.10
2.91,2.18,102.80
2.82,2.18,103.50
2.82,2.27,98.70
2.91,2.27,103.60
2.82,2.27,100.50
2.82,2.27,105.10
2.91,2.27,104.00
2.82,2.18,104.40
2.91,2.27,100.60
2.82,2.27,100.60
2.82,2.27,100.80
2.82,2.27,102.30
2.91,2.27,105.30
2.82,2.27,106.10
2.82,2.27,106.20
2.82,2.27,107.60
2.82,2.27,107.80
2.91,2.27,107.70
2.91,2.27,107.50
2.91,2.27,108.30
2.91,2.36,106.60
2.91,2.27,107.10
2.82,2.27,108.30
2.82,2.27,108.30
2.91,2.27,104.70
2.82,2.27,103.90
2.91,2.36,108.60
2.82,2.27,105.00
2.82,2.36,107.80
2.91,2.36,109.10
2.91,2.36,104.70
2.82,2.27,104.80
2.82,2.27,110.10
2.82,2.36,110.10
2.82,2.36,110.30
2.82,2.36,110.30
2.91,2.36,110.80
2.82,2.36,111.50
2.91,2.36,110.30
2.82,2.36,110.50
2.82,2.36,111.30
2.82,2.45,111.50
2.82,2.45,111.30
2.91,2.36,111.50
2.91,2.45,111.40
2.91,2.36,111.80
2.82,2.45,111.70
2.82,2.36,113.40
2.82,2.45,114.70
2.91,2.45,109.30
2.91,2.45,112.20
2.91,2.45,109.30
2.91,2.36,108.90
2.82,2.45,113.10
2.82,2.45,110.70
2.82,2.45,115.10
2.91,2.45,114.20
2.82,2.45,113.80
2.82,2.45,110.90
2.91,2.55,114.70
2.82,2.55,114.20
2.82,2.45,115.80
2.82,2.45,114.90
2.82,2.45,115.80
2.91,2.45,115.80
2.91,2.45,116.00
2.82,2.55,114.70
2.82,2.55,115.40
2.91,2.45,116.20
2.82,2.55,116.90
2.82,2.55,115.60
2.82,2.45,117.20
2.82,2.55,112.40
2.91,2.45,115.60
2.82,2.55,117.30
2.82,2.55,112.20
2.82,2.55,117.60
2.73,2.55,113.00
2.82,2.45,117.90
2.82,2.55,118.70
2.82,2.55,105.10
2.91,2.55,112.40
2.82,2.55,114.90
2.82,2.55,118.30
2.82,2.55,118.80
2.82,2.55,118.50
2.82,2.55,118.70
2.91,2.45,114.70
2.82,2.55,119.30
2.82,2.55,139.10
2.91,2.45,119.30
2.82,2.55,119.40
2.82,2.45,114.90
2.82,2.55,116.50
2.82,2.55,119.20
2.91,2.55,120.50
2.91,2.55,115.00
2.91,2.55,130.20
2.82,2.55,115.80
2.91,2.55,116.80
2.91,2.55,120.20
2.91,2.55,116.90
2.91,2.55,121.00
2.91,2.55,120.50
2.91,2.55,117.40
2.91,2.55,121.50
2.91,2.55,117.80
2.91,2.55,116.50
2.91,2.55,117.70
2.91,2.64,117.40
2.82,2.55,117.40
2.91,2.55,118.70
2.82,2.55,117.30
2.91,2.55,118.30
2.91,2.55,123.00
2.82,2.55,118.10
2.91,2.64,123.20
2.91,2.55,122.00
2.91,2.55,122.90
2.91,2.55,119.20
2.82,2.64,122.50
2.82,2.55,123.70
2.82,2.64,128.70
2.82,2.55,124.40
2.82,2.64,124.20
2.91,2.64,122.50
2.91,2.64,124.60
2.91,2.64,123.90
2.91,2.64,124.00
2.91,2.73,118.60
2.91,2.64,119.20
2.91,2.64,119.30
2.91,2.64,120.80
2.82,2.64,120.10
2.91,2.64,120.20
3.00,2.64,121.50
2.91,2.64,124.80
2.82,2.64,121.20
2.91,2.64,121.00
2.91,2.73,124.60
2.82,2.64,126.50
2.82,2.64,125.30
2.82,2.64,124.80
2.82,2.64,124.70
2.91,2.64,121.20
2.82,2.73,127.00
2.82,2.64,126.00
2.82,2.64,121.70
2.82,2.64,121.00
2.82,2.64,127.00
2.82,2.64,126.40
2.82,2.64,122.20
2.82,2.64,121.60
2.82,2.64,127.30
2.91,2.73,127.40
2.82,2.73,125.90
2.82,2.73,126.70
2.82,2.64,125.60
2.91,2.64,126.30
2.82,2.73,126.10
2.82,2.73,126.00
2.82,2.73,126.60
2.91,2.64,126.40
2.82,2.73,126.30
2.82,2.73,127.20
2.82,2.73,126.90
2.82,2.73,123.20
2.82,2.73,127.70
2.82,2.73,127.50
2.91,2.73,132.60
2.91,2.73,128.90
2.91,2.64,128.40
2.82,2.73,128.20
2.82,2.73,128.50
2.82,2.73,134.20
2.91,2.82,128.10
2.91,2.73,128.20
2.82,2.64,128.20
2.91,2.73,128.30
2.91,2.73,124.00
2.82,2.73,124.00
2.82,2.73,128.40
2.91,2.73,129.20
2.91,2.73,128.30
2.82,2.73,127.70
2.91,2.73,128.30
2.82,2.73,128.80
2.91,2.73,125.80
2.91,2.82,124.30
2.91,2.73,129.30
2.91,2.82,129.50
3.00,2.73,128.70
2.91,2.73,130.00
2.91,2.82,128.40
2.91,2.73,125.70
2.91,2.73,126.00
2.91,2.82,124.70
2.91,2.73,125.80
2.91,2.82,125.50
2.91,2.73,125.30
2.91,2.82,130.40
2.91,2.73,131.10
2.82,2.73,130.00
